x1,y1,x2,y2,length,angle,speed,left,middle,right,batch
61,434,664,226,637.8659733831238,-0.33216168045202,-83.4923076923077,2023-10-05 08:25:40.875,2023-10-05 08:25:23.625,2023-10-05 08:25:06.375,2023-10-05 08:24:44
50,439,726,206,715.0279714808365,-0.33192269358550003,-83.55708154506438,2023-10-05 08:25:41.000,2023-10-05 08:25:23.750,2023-10-05 08:25:06.500,2023-10-05 08:24:44
42,443,738,203,736.2173592085425,-0.3320594675428855,-83.52,2023-10-05 08:25:41.125,2023-10-05 08:25:23.875,2023-10-05 08:25:06.625,2023-10-05 08:24:44
41,444,745,202,744.4326698902997,-0.3310960767041321,-83.78181818181818,2023-10-05 08:25:41.250,2023-10-05 08:25:24.000,2023-10-05 08:25:06.875,2023-10-05 08:24:44
39,446,751,201,752.9734391065863,-0.3314100607591226,-83.69632653061225,2023-10-05 08:25:41.375,2023-10-05 08:25:24.125,2023-10-05 08:25:07.000,2023-10-05 08:24:44
39,448,758,200,760.5688660469872,-0.3321451904006756,-83.49677419354839,2023-10-05 08:25:41.625,2023-10-05 08:25:24.375,2023-10-05 08:25:07.125,2023-10-05 08:24:44
3,271,745,510,779.5415319275811,0.31160891428024434,89.41255230125523,2023-10-05 08:26:47.750,2023-10-05 08:27:03.750,2023-10-05 08:27:19.875,2023-10-05 08:26:14
3,272,749,512,783.6555365720324,0.31125860687525897,89.52000000000001,2023-10-05 08:26:47.875,2023-10-05 08:27:03.875,2023-10-05 08:27:20.000,2023-10-05 08:26:14
3,32,705,256,736.8717663203008,0.30887572934493374,90.25714285714287,2023-10-05 08:26:47.875,2023-10-05 08:27:03.750,2023-10-05 08:27:19.750,2023-10-05 08:26:44
3,34,745,270,778.6269967063819,0.30794152156718163,90.54915254237288,2023-10-05 08:26:48.125,2023-10-05 08:27:04.000,2023-10-05 08:27:19.875,2023-10-05 08:26:44
5,35,750,273,782.0927055023592,0.30921582879356146,90.15126050420169,2023-10-05 08:26:48.125,2023-10-05 08:27:04.125,2023-10-05 08:27:20.000,2023-10-05 08:26:44
45,277,745,543,748.8364307377145,0.3631470099461763,75.78947368421053,2023-10-05 08:27:16.375,2023-10-05 08:27:35.375,2023-10-05 08:27:54.375,2023-10-05 08:26:44
43,277,752,547,758.6705477346541,0.363861647577107,75.62666666666667,2023-10-05 08:27:16.500,2023-10-05 08:27:35.500,2023-10-05 08:27:54.625,2023-10-05 08:26:44
42,278,753,548,760.5399397796278,0.36292577101173285,75.84,2023-10-05 08:27:16.750,2023-10-05 08:27:35.625,2023-10-05 08:27:54.625,2023-10-05 08:26:44
47,281,753,550,755.5110852925985,0.36403785626219703,75.58661710037174,2023-10-05 08:27:16.875,2023-10-05 08:27:35.875,2023-10-05 08:27:54.875,2023-10-05 08:26:44
43,37,752,307,758.6705477346541,0.363861647577107,75.62666666666667,2023-10-05 08:27:16.500,2023-10-05 08:27:35.500,2023-10-05 08:27:54.625,2023-10-05 08:27:14
45,37,749,305,753.2861342146157,0.3637426616180117,75.65373134328358,2023-10-05 08:27:16.375,2023-10-05 08:27:35.500,2023-10-05 08:27:54.500,2023-10-05 08:27:14
42,37,754,309,762.1863289248896,0.3649130991617934,75.38823529411765,2023-10-05 08:27:16.500,2023-10-05 08:27:35.625,2023-10-05 08:27:54.750,2023-10-05 08:27:14
43,39,753,310,759.9611832192484,0.3646230599455741,75.4538745387454,2023-10-05 08:27:16.750,2023-10-05 08:27:35.875,2023-10-05 08:27:54.875,2023-10-05 08:27:14
46,440,739,163,746.309587235753,-0.380257559003541,-72.05198555956679,2023-10-05 08:28:11.250,2023-10-05 08:27:51.250,2023-10-05 08:27:31.250,2023-10-05 08:27:14
45,442,745,162,753.9230729988305,-0.3805063771123649,-72.0,2023-10-05 08:28:11.500,2023-10-05 08:27:51.500,2023-10-05 08:27:31.375,2023-10-05 08:27:14
45,443,747,163,755.7803913836347,-0.37952357644599216,-72.2057142857143,2023-10-05 08:28:11.500,2023-10-05 08:27:51.625,2023-10-05 08:27:31.625,2023-10-05 08:27:14
47,541,746,270,749.6946044890545,-0.3698553060352815,-74.2848708487085,2023-10-05 08:28:23.875,2023-10-05 08:28:04.500,2023-10-05 08:27:45.125,2023-10-05 08:27:14
48,542,748,271,750.6270711878169,-0.3693737346213438,-74.39114391143912,2023-10-05 08:28:24.000,2023-10-05 08:28:04.625,2023-10-05 08:27:45.250,2023-10-05 08:27:14
47,542,748,270,751.9208734966732,-0.37013381753486296,-74.2235294117647,2023-10-05 08:28:24.000,2023-10-05 08:28:04.625,2023-10-05 08:27:45.125,2023-10-05 08:27:14
52,542,748,272,746.5360004715111,-0.3700589960377175,-74.24000000000001,2023-10-05 08:28:24.250,2023-10-05 08:28:04.875,2023-10-05 08:27:45.375,2023-10-05 08:27:14
